9/27/2017 1:43:45 PM 
006620081214020 Wrote: C:\NRG\ScaledData\006620081214020.txt
006620081215021 Wrote: C:\NRG\ScaledData\006620081215021.txt
006620081216022 Wrote: C:\NRG\ScaledData\006620081216022.txt
006620081217023 Wrote: C:\NRG\ScaledData\006620081217023.txt
006620081218024 Wrote: C:\NRG\ScaledData\006620081218024.txt
006620081219025 Wrote: C:\NRG\ScaledData\006620081219025.txt
006620081220026 Wrote: C:\NRG\ScaledData\006620081220026.txt
006620081221027 Wrote: C:\NRG\ScaledData\006620081221027.txt
006620081222028 Wrote: C:\NRG\ScaledData\006620081222028.txt
006620081223029 Wrote: C:\NRG\ScaledData\006620081223029.txt
006620081224030 Wrote: C:\NRG\ScaledData\006620081224030.txt
006620081225031 Wrote: C:\NRG\ScaledData\006620081225031.txt
006620081226032 Wrote: C:\NRG\ScaledData\006620081226032.txt
006620081227033 Wrote: C:\NRG\ScaledData\006620081227033.txt
006620081227034 Note: file contains updated sensor info
006620081227034 Wrote: C:\NRG\ScaledData\006620081227034.txt
006620090107008 Wrote: C:\NRG\ScaledData\006620090107008.txt
006620090108009 Wrote: C:\NRG\ScaledData\006620090108009.txt
006620090109010 Wrote: C:\NRG\ScaledData\006620090109010.txt
006620090110011 Wrote: C:\NRG\ScaledData\006620090110011.txt
006620090111012 Wrote: C:\NRG\ScaledData\006620090111012.txt
006620090112013 Wrote: C:\NRG\ScaledData\006620090112013.txt
006620090113014 Wrote: C:\NRG\ScaledData\006620090113014.txt
006620090114015 Wrote: C:\NRG\ScaledData\006620090114015.txt
006620090115016 Wrote: C:\NRG\ScaledData\006620090115016.txt
006620090116017 Wrote: C:\NRG\ScaledData\006620090116017.txt
006620090117018 Wrote: C:\NRG\ScaledData\006620090117018.txt
006620090118019 Wrote: C:\NRG\ScaledData\006620090118019.txt
006620090119020 Wrote: C:\NRG\ScaledData\006620090119020.txt
006620090120021 Wrote: C:\NRG\ScaledData\006620090120021.txt
006620090121022 Wrote: C:\NRG\ScaledData\006620090121022.txt
006620090122023 Wrote: C:\NRG\ScaledData\006620090122023.txt
006620090123024 Wrote: C:\NRG\ScaledData\006620090123024.txt
006620090124025 Wrote: C:\NRG\ScaledData\006620090124025.txt
006620090124026 Wrote: C:\NRG\ScaledData\006620090124026.txt
006620090124027 Note: file contains updated sensor info
006620090124027 Wrote: C:\NRG\ScaledData\006620090124027.txt
006620090125028 Wrote: C:\NRG\ScaledData\006620090125028.txt
006620090126029 Wrote: C:\NRG\ScaledData\006620090126029.txt
006620090127030 Wrote: C:\NRG\ScaledData\006620090127030.txt
006620090128031 Wrote: C:\NRG\ScaledData\006620090128031.txt
006620090129032 Wrote: C:\NRG\ScaledData\006620090129032.txt
006620090130033 Wrote: C:\NRG\ScaledData\006620090130033.txt
006620090131034 Wrote: C:\NRG\ScaledData\006620090131034.txt
006620090201035 Wrote: C:\NRG\ScaledData\006620090201035.txt
006620090202036 Wrote: C:\NRG\ScaledData\006620090202036.txt
006620090203037 Wrote: C:\NRG\ScaledData\006620090203037.txt
006620090204038 Wrote: C:\NRG\ScaledData\006620090204038.txt
006620090205039 Wrote: C:\NRG\ScaledData\006620090205039.txt
006620090206040 Wrote: C:\NRG\ScaledData\006620090206040.txt
006620090207041 Wrote: C:\NRG\ScaledData\006620090207041.txt
006620090208042 Wrote: C:\NRG\ScaledData\006620090208042.txt
006620090209043 Wrote: C:\NRG\ScaledData\006620090209043.txt
006620090210044 Wrote: C:\NRG\ScaledData\006620090210044.txt
006620090211045 Wrote: C:\NRG\ScaledData\006620090211045.txt
006620090212046 Wrote: C:\NRG\ScaledData\006620090212046.txt
006620090213047 Wrote: C:\NRG\ScaledData\006620090213047.txt
006620090214048 Wrote: C:\NRG\ScaledData\006620090214048.txt
006620090215049 Wrote: C:\NRG\ScaledData\006620090215049.txt
006620090216050 Wrote: C:\NRG\ScaledData\006620090216050.txt
006620090217051 Wrote: C:\NRG\ScaledData\006620090217051.txt
006620090218052 Wrote: C:\NRG\ScaledData\006620090218052.txt
006620090219053 Wrote: C:\NRG\ScaledData\006620090219053.txt
006620090220054 Wrote: C:\NRG\ScaledData\006620090220054.txt
006620090221055 Wrote: C:\NRG\ScaledData\006620090221055.txt
006620090222056 Wrote: C:\NRG\ScaledData\006620090222056.txt
006620090223057 Wrote: C:\NRG\ScaledData\006620090223057.txt
006620090224058 Wrote: C:\NRG\ScaledData\006620090224058.txt
006620090225059 Wrote: C:\NRG\ScaledData\006620090225059.txt
006620090226060 Wrote: C:\NRG\ScaledData\006620090226060.txt
006620090227061 Wrote: C:\NRG\ScaledData\006620090227061.txt
006620090228062 Wrote: C:\NRG\ScaledData\006620090228062.txt
006620090301063 Wrote: C:\NRG\ScaledData\006620090301063.txt
006620090322008 Wrote: C:\NRG\ScaledData\006620090322008.txt
494 files processed
